rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,reward_apy,base_apy_7d,il_7d,avg_30d,inception_apy,top_10_pct,total_pool,total_borrowed,avail_liquidity,supply_cap_util,collateral_exposure
100,USDC / Morpho,Beefy,Base,$1.45m,1450000,4.56,5.01,,,,,,5.01,,,,,
101,HYPERUSDCA,Morpho Blue,Arbitrum,"$875,166",875166,4.51,4.51,4.28,,,4.51,,4.28,866227.0337526001,,199104917.8,0,"{""WETH"":1.04,""sUSDS"":0.69,""thBILL"":5.99,""WBTC"":45.02,""sUSDai"":0.69,""PT-thBILL-18JUN2026"":10.66,""PT-USDai-18JUN2026"":18.35,""PT-sUSDai-18JUN2026"":10.63,""weETH"":6.93}"
102,YCSUSDC,Morpho Blue,Base,"$512,290",512290,4.51,4.51,5.37,,,4.51,,5.37,512938.38960743515,,107471928.64,0,"{""cbETH"":4,""cbDOGE"":35.22,""cbLTC"":11.82,""cbADA"":29.59,""wstETH"":0.98,""cbXRP"":14.34,""superOETHb"":1.51,""cbBTC"":1.59,""rETH"":0.92}"
103,USDY,Toros,Op Mainnet,"$756,343",756343,4.41,2.46,,,,,,2.46,,,,,
104,USDC / Dolomite Balance,Dolomite,Arbitrum,$1.44m,1440000,4.37,4.37,5.97,,,4.37,,5.97,4390000,2950000,1440000,,
105,USDC-USDT / 0.01%,Uniswap V3,Arbitrum,$2.5m,2500000,4.26,4.26,2.22,3.67,,2.22,,3.67,,,,,
106,CSUSDC,Morpho Blue,Base,$3.05m,3050000,4.14,4.14,5.35,,,4.14,,5.35,1.0058140557469697,,75991541.35,0,"{""wstETH"":64.88,""weETH"":35.12}"
107,BBQUSDC,Morpho Blue,Arbitrum,$2.87m,2870000,4.13,4.13,3.9,,,4.13,,3.9,2902854.9767546603,,507023564.36,0,"{""PT-USDai-18JUN2026"":39.2,""weETH"":58.09,""syrupUSDC"":2.52,""WETH"":0.19,""wsrUSD"":0}"
108,USDC / 2027-01-14,Exactly,Op Mainnet,$1.58m,1580000,4.12,4.12,3.59,,,4.12,,3.59,1370000,5955,1360000,,
109,USDC / 2026-06-04,Exactly,Op Mainnet,$1.58m,1580000,4.07,4.07,4.01,,,4.07,,4.01,1430000,77236,1350000,,
110,USDC / 2026-07-02,Exactly,Op Mainnet,$1.58m,1580000,4.06,4.06,3.87,,,4.06,,3.87,1400000,49184,1360000,,
111,PUSDC,Morpho Blue,Base,$25.65m,25650000,4.01,4.01,4.29,,,4.01,,4.29,26295729.076943997,,1023555867.69,2.5,"{""cbBTC"":100}"
112,USDC / 2026-12-17,Exactly,Op Mainnet,$1.58m,1580000,4.01,4.01,3.8,,,4.01,,3.8,1370000,4434,1360000,,
113,STEAKUSDC,Morpho Blue,Base,$469.98m,469980000,4.01,4.01,4.29,,,4.01,,4.29,141123.59684164755,,64849498.47,0,"{""wstETH"":64.56,""WETH"":35.44,""WBTC"":0}"
114,GTUSDCF,Morpho Blue,Base,$1.39m,1390000,4.01,4.01,5.11,,,4.01,,5.11,1389752.5803605542,,110194474.28,0,"{""cbETH"":6.21,""cbDOGE"":0,""cbXRP"":0.03,""cbADA"":0,""cbBTC"":93.76}"
115,GTUSDCP,Morpho Blue,Base,$354.38m,354380000,4,4,4.29,,,4,,4.29,2047419.7208588137,,62943202.35,0,"{""sUSDS"":0.22,""WBTC"":94.18,""WETH"":3.91,""wstETH"":1.68}"
116,FRUSDC,Morpho Blue,Base,$23.78m,23780000,4,4,4.13,,,4,,4.13,23780799.115568075,,0,0,"{""cbBTC"":100}"
117,TERMUSDC,Morpho Blue,Base,"$979,478",979478,4,4,4.13,,,4,,4.13,979448.7790913191,,198992283.94,0.49,"{""cbBTC"":100}"
118,USDC,Compound V3,Base,"$938,046",938046,3.94,3.94,4.08,,,3.94,,4.08,9590000,8650000,937971,,
119,USDC / 2026-09-24,Exactly,Op Mainnet,$1.58m,1580000,3.92,3.92,3.76,,,3.92,,3.76,1380000,15457,1360000,,
120,USDC / 2026-11-19,Exactly,Op Mainnet,$1.58m,1580000,3.9,3.9,3.66,,,3.9,,3.66,1370000,7197,1360000,,
121,USDC / 2026-10-22,Exactly,Op Mainnet,$1.58m,1580000,3.9,3.9,3.84,,,3.9,,3.84,1390000,24671,1360000,,
