rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,avg_30d,top_10_pct
96,STEAKUSDC,Morpho V1,Katana,$24.14m,24140000,5.76,5.76,5.76,1.02
97,PUSDC,Morpho V1,Base,$8.53m,8530000,5.73,5.73,5.73,4.12
98,STEAKUSDC,Morpho V1,Base,$284.97m,284970000,5.63,5.63,5.63,4.12
99,GTUSDCP,Morpho V1,Base,$339.78m,339780000,5.62,5.62,5.62,4.12
100,STEAKUSDCFARCASTER,Morpho V1,Base,"$576,905",576905,5.55,5.55,5.55,4.1
101,USDC,Aave V3,Base,$14.83m,14830000,5.44,5.44,5.44,2.8
102,USDC,Moonwell Lending,Base,$1.77m,1770000,5.35,3.92,1.43,4.16
103,USDM,Liqwid,Cardano,$1.44m,1440000,5.35,5.35,5.35,5.26
104,USDC-ALUSD / stable - 0.05%,Velodrome V2,Op Mainnet,$1.65m,1650000,5.33,5.33,5.33,5.66
105,USDT,ZEROBASE CeDeFi,Op Mainnet,$8.1m,8100000,5.3,3.3,2,5.3
106,GTUSDC,Morpho V1,Katana,$5.99m,5990000,5.23,5.23,5.23,1.27
107,USDC-SCRVUSD / Curve,Stake DAO,Base,"$534,405",534405,5.13,1.21,3.92,5.35
108,EARNAUSD,Upshift,Monad,$38.38m,38380000,5.05,2.73,2.32,9.02
109,USDC / Compound,Beefy,Base,$1.25m,1250000,4.99,3.01,,3.01
110,CSUSDC,Morpho V1,Base,$3.59m,3590000,4.96,4.96,4.96,7.29
111,USDC / SuperchargerV2,WOOFi Earn,Base,"$686,129",686129,4.87,4.87,4.87,4.86
112,USDC / SuperchargerV2,WOOFi Earn,Arbitrum,$1.14m,1140000,4.73,4.73,4.73,4.73
113,AUSD / vUSD/AUSD,Curvance,Monad,$1.02m,1020000,4.66,4.66,4.66,5.34
114,BTCUSD,BiFi,Bifrost Network,$1.34m,1340000,4.66,4.66,4.66,4.65
115,USDD,JustLend,Tron,$305.38m,305380000,4.65,0,4.65,4.59
116,USDT,Folks Finance xChain,Polygon,$1.19m,1190000,4.56,4.56,4.56,3.69
117,HYPERUSDCA,Morpho V1,Arbitrum,"$966,834",966834,4.49,4.49,4.49,4.84
118,USDC,HyperLend Pooled,Hyperliquid L1,$14.41m,14410000,4.46,4.46,4.46,4.16
119,BBQUSDT0,Morpho V1,Arbitrum,$26.12m,26120000,4.25,4.25,4.25,3.64
120,USDC,Folks Finance Lending,Algorand,$1.5m,1500000,4.21,4.21,4.21,3.55
121,GHO,Fluid Lending,Base,"$910,235",910235,4.2,4.2,4.2,3.95
122,PYUSD,Kamino Lend,Solana,$10.32m,10320000,4.19,4.19,4.19,2.81
123,DAI,Aave V3,Polygon,$1.06m,1060000,4.06,4.06,4.06,3.71
124,SUIUSDT,NAVI Lending,Sui,$1.55m,1550000,4.02,3.45,0.57,4.76
125,USDC / 2027-01-14,Exactly,Op Mainnet,$1.58m,1580000,3.99,3.99,3.99,2.98
