date,rank,pool,project,chain,tvl,tvl_raw,apy,base_apy,reward_apy,base_apy_7d,il_7d,avg_30d,inception_apy,top_10_pct,total_pool,total_borrowed,avail_liquidity,supply_cap_util,collateral_exposure
2026-04-18,12,WNUSDT0-WNAUSD-WNUSDC / Balancer,Beefy,,$2.76m,2760000.0,13.4,13.95,,,,13.95,,75.2,,,,,
2026-04-18,13,USDC-USDT / CL1 - 0.0009%,Aerodrome Slipstream,,$1.18m,1180000.0,13.2,8.13,,,,6.95,,6.42,,,,,
2026-04-18,14,USDC,Accountable,,"$887,941",887941.0,12.43,9.6,,,,2.83,,12.5,,,,,
2026-04-18,15,USDC / arbUSD,AUTOfinance,,$2.05m,2050000.0,11.93,10.11,,,,7.84,,100.0,,,,,
2026-04-18,16,DJED,Liqwid,,$1.66m,1660000.0,11.87,11.87,,,,11.87,,11.99,,,,,
2026-04-18,17,USDC / vault,Avantis,,$60.94m,60940000.0,11.43,11.43,,,,9.61,,32.4,,,,,
2026-04-18,18,USDC,Sprinter,,$2.96m,2960000.0,11.35,10.04,,,,,,10.04,,,,,
2026-04-18,19,AUSD,Accountable,,"$525,519",525519.0,11.3,6.3,,,,5.0,,11.3,,,,,
2026-04-18,20,AUSD,Accountable,,$9.9m,9900000.0,11.28,7.76,,,,3.52,,11.28,,,,,
2026-04-18,21,EARNAUSD,Upshift,,$40.05m,40050000.0,11.19,6.14,,,,5.04,,8.26,,,,,
2026-04-18,22,MIM-USDT0 / Mim,Beefy,,$1.15m,1150000.0,10.81,10.35,,,,10.35,,81.6,,,,,
2026-04-18,23,SUSDU,Unitas,,$47.34m,47340000.0,10.65,10.65,,,,10.65,,12.06,,,,,
2026-04-18,24,USDC.E,Kinetic,,"$554,082",554082.0,10.49,3.02,,,,7.47,,11.02,,,,,
2026-04-18,25,USDC,Purrlend,,"$556,604",556604.0,10.28,4.59,,,,10.29,,92.6,,,,,
2026-04-18,26,ALUSD-USDC / Curve,Stake DAO,,"$697,006",697006.0,9.81,0.14,,,,9.64,,95.8,,,,,
2026-04-18,27,AUSD,Neverland,,$8.15m,8150000.0,9.76,4.34,,,,10.2,,79.2,,,,,
2026-04-18,28,USDT0,Neverland,,$3.38m,3380000.0,9.58,3.99,,,,9.19,,83.3,,,,,
2026-04-18,29,ALUSD-USDC,Curve DEX,,"$733,318",733318.0,9.51,0.11,,,,9.97,,100.0,,,,,
2026-04-18,30,SUPERUSDC / SuperVault,Superform,,$2.12m,2120000.0,9.47,4.42,,,,5.74,,55.1,,,,,
2026-04-18,31,BBQUSD1,Morpho V1,,,,9.44,2.36,,,,197.0,,91.9,,,,,
2026-04-18,33,DAI-USDT / 0.00%,Uniswap V4,,"$535,004",535004.0,9.2,9.2,,,,9.2,,12.46,,,,,
2026-04-18,34,USDT,ZEROBASE CeDeFi,,$7.94m,7940000.0,9.0,7.0,,,,9.0,,99.7,,,,,
2026-04-18,35,USDC,ZEROBASE CeDeFi,,"$801,220",801220.0,9.0,7.0,,,,9.0,,97.4,,,,,
2026-04-18,36,AUSD,Yearn Finance,,$1.65m,1650000.0,8.88,8.88,,,,8.88,,2.74,,,,,
2026-04-18,37,USDC,Abyss,,$1.86m,1860000.0,8.8,8.8,,,,8.8,,8.86,,,,,
2026-04-18,38,USDC,MortgageFi,,"$747,093",747093.0,8.75,9.03,,,,9.03,,97.8,,,,,
2026-04-18,39,ZVUSDC,Zircuit Finance,,$1.51m,1510000.0,8.66,8.66,,,,8.63,,26.1,,,,,
2026-04-18,41,USDC,Loopscale,,$1.17m,1170000.0,8.37,7.75,,,,0.62,,8.38,,,,,
2026-04-18,42,USDC / baseUSD,AUTOfinance,,$6.81m,6810000.0,8.3,5.11,,,,6.7,,99.9,,,,,
